points_ratio,email_send,email_open_rate,email_click_rate,email_forward_rate,rest_loc_bar,rest_loc_Merch,rest_loc_Open,rest_loc_Patio,rest_loc_Rest,rest_loc_rm_serv,rest_loc_Take_out,rest_loc_cafe,rest_loc_unkn,time_breakfast,time_dinner,time_late_nite,time_lunch,time_unknown,disc_app,disc_beverage,disc_dessert,disc_employee,disc_food,disc_other,disc_ribs,disc_sandwich,disc_ticket,disc_type_bogo,disc_type_comp,disc_type_dolfood,disc_type_empl,disc_type_free,disc_type_other,disc_type_pctfood,disc_chan_advo,disc_chan_comp,disc_chan_demo,disc_chan_empl,disc_chan_entbk,disc_chan_gmms,disc_chan_gps,disc_chan_laten,disc_chan_local,disc_chan_other,disc_chan_part,disc_chan_smart,disc_chan_valc,disc_chan_value,disc_pct_tot,disc_pct_trans,items_tot_distinct,items_tot,net_amt_p_item,checks_tot,net_sales_p_chck,net_sales_tot,fd_cat_alcoh,fd_cat_app,fd_cat_bev,fd_cat_brunc,fd_cat_buffe,fd_cat_burg,fd_cat_combo,fd_cat_dess,fd_cat_drink,fd_cat_h_ent,fd_cat_kids,fd_cat_l_ent,fd_cat_other,fd_cat_side,fd_cat_soupsal,fd_cat_steak,days_between_trans,tenure_day,age,guests_last_12mo,customer_number
0,67,0.656716418,0.029850746,0.014925373,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8.215,1,32.86,32.86,0.465766,0.340613,0,0,0,0,0,0,0,0,0,0,0.193619,0,0,0,0,679,31,0,1001
0,61,0.836065574,0.06557377,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.99,1,8.99,8.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2408,62,1.15,1002
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1999,1,11,11,7.038181,1,77.42,77.42,0,0.128132,0.097778,0,0,0,0,0,0,0.609661,0,0.116894,0.010333,0.037199,0,0,0,685,55,13.8,1003
0,53,0.886792453,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9.556666,1,28.67,28.67,0,0,0.08685,0,0,0.289152,0,0,0,0,0,0,0,0,0,0.623997,0,2408,37,2.3,1004
0,82,0.5,0.048780488,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0992,1,7,10,8.611,1,86.11,86.11,0,0,0.116595,0,0,0,0,0,0,0.536406,0,0.200673,0,0,0,0.146324,0,2408,73,13.8,1005
0,74,0.459459459,0.013513514,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3859,1,6,6,5.93,1,35.58,35.58,0,0.183422,0.071373,0,0,0,0,0,0,0.65541,0,0,0.089792,0,0,0,0,2408,58,0,1006
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6.14,1,30.7,30.7,0.293159,0.289902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416938,0,2408,39,1.15,1007
0,26,0.5,0.038461538,0,1,0,0,0,0,0,0,0,0,0,0.428571429,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,6.131071,7,23.4685,164.28,0.725103,0.062028,0,0,0,0.138726,0,0,0,0.071158,0,0,0.002982,0,0,0,28,2408,55,3.45,1008
1.069518,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,5.484848,6,30.1666,181,0.156457,0.2144,0.159428,0,0,0.129028,0,0,0,0.082857,0.179771,0.055371,0.022685,0,0,0,35,2408,43,13.8,1009
0,59,0.203389831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7.023333,2,31.605,63.21,0,0,0.170226,0,0,0,0,0,0,0.426831,0,0,0,0.04572,0,0.357221,1,2408,69,4.6,1010
0,23,0.086956522,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1,7,10,5.917,1,55.68,55.68,0,0,0.127514,0,0,0,0,0,0,0.657327,0,0,0,0,0.215158,0,0,2407,52,5.75,1011
0,0,0,0,0,0.833333333,0,0,0,0.166666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,3.495925,6,14.6666,88,0.645633,0.230722,0,0,0,0,0,0,0,0.108304,0,0,0.01534,0,0,0,59,2407,53,3.45,1012
4,60,0.066666667,0.016666667,0.016666667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4.95,1,24.75,24.75,0,0,0.202614,0,0,0.319172,0,0,0,0,0,0.340958,0.137254,0,0,0,0,2407,58,2.3,1013
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2896,1,11,11,4.422727,1,48.65,48.65,0.136465,0.169786,0,0,0,0.097903,0,0,0,0.139086,0.212654,0,0.089292,0,0.15481,0,0,2407,31,5.75,1014
